,author,title,isbn,rating_dist,ratings_count,text_reviews_count,average_rating,original_publication_year,type
0,Douglas   Stuart,Shuggie Bain,52741293,5:96723|4:70948|3:22271|2:4990|1:1907|total:196839,196839,22003,4.3,2020,literary fiction
1,Kiley Reid,Such a Fun Age,43923951,5:118855|4:257577|3:165762|2:33903|1:6593|total:582690,582690,46868,3.77,2019,literary fiction
2,Colum McCann,Apeirogon,50732671,5:13598|4:8946|3:3513|2:1025|1:409|total:27491,27491,4252,4.25,2019,literary fiction
3,Diane  Cook,The New Wilderness,43520616,5:3491|4:6455|3:4945|2:1545|1:330|total:16766,16766,2172,3.67,2020,literary fiction
4,Hilary Mantel,"The Mirror & the Light (Thomas Cromwell, #3)",45992717,5:27084|4:14862|3:4712|2:962|1:321|total:47941,47941,6208,4.41,2020,literary fiction
5,Avni Doshi,Burnt Sugar,52969580,5:2850|4:7842|3:10209|2:4461|1:1260|total:26622,26622,3449,3.25,2019,literary fiction
6,C Pam Zhang,How Much of These Hills Is Gold,45895362,5:6394|4:10839|3:7216|2:1841|1:493|total:26783,26783,3682,3.78,2020,literary fiction
7,Anne Tyler,Redhead by the Side of the Road,46014983,5:8607|4:20305|3:17600|2:4166|1:926|total:51604,51604,6242,3.61,2020,literary fiction
8,Tsitsi Dangarembga,This Mournable Body,36479936,5:592|4:1572|3:2002|2:682|1:195|total:5043,5043,729,3.33,2018,literary fiction
9,Sophie  Ward,Love and Other Thought Experiments,43528427,5:1187|4:2318|3:1872|2:680|1:175|total:6232,6232,867,3.59,2020,literary fiction
10,Maaza Mengiste,The Shadow King,43726511,5:3294|4:5498|3:4602|2:1396|1:382|total:15172,15172,2052,3.65,2019,literary fiction
11,Brandon  Taylor,Real Life,46263943,5:9384|4:14888|3:9922|2:2867|1:721|total:37782,37782,5705,3.78,2020,literary fiction
12,Gabriel Krauze,Who They Was,52813345,5:1832|4:2031|3:896|2:244|1:116|total:5119,5119,613,4.02,2020,literary fiction
13,Percival Everett,The Trees,56269278,5:21711|4:26986|3:10717|2:2486|1:764|total:62664,62664,8598,4.06,2021,literary fiction
14,Claire Keegan,Small Things Like These,58662236,5:165182|4:206180|3:87623|2:15532|1:2981|total:477498,477498,56665,4.08,2021,literary fiction
15,Shehan Karunatilaka,The Seven Moons of Maali Almeida,57224204,5:18727|4:24744|3:13674|2:3830|1:1279|total:62254,62254,8286,3.9,2022,literary fiction
16,Leila Mottley,Nightcrawling,58537371,5:17697|4:28203|3:13641|2:2803|1:594|total:62938,62938,8269,3.95,2022,literary fiction
17,Audrey Magee,The Colony,57977494,5:4823|4:5715|3:2141|2:474|1:132|total:13285,13285,1841,4.1,2022,literary fiction
18,Hernan Diaz,Trust,58210933,5:47859|4:70488|3:45599|2:13759|1:4036|total:181741,181741,21691,3.79,2022,literary fiction
19,NoViolet Bulawayo,Glory,58491879,5:1518|4:2175|3:1445|2:589|1:222|total:5949,5949,1084,3.7,2022,literary fiction
20,Maddie Mortimer,Maps of Our Spectacular Bodies,59366234,5:2557|4:2695|3:1590|2:497|1:132|total:7471,7471,1374,3.94,2022,literary fiction
