isbn,shelves,type
52741293,282956,literary fiction
43923951,562945,literary fiction
50732671,60282,literary fiction
43520616,53163,literary fiction
45992717,102231,literary fiction
52969580,49512,literary fiction
45895362,70285,literary fiction
46014983,45327,literary fiction
36479936,16120,literary fiction
43528427,21153,literary fiction
43726511,42619,literary fiction
46263943,132973,literary fiction
52813345,13186,literary fiction
56269278,106296,literary fiction
58662236,482754,literary fiction
57224204,142780,literary fiction
58537371,184296,literary fiction
57977494,32141,literary fiction
58210933,306932,literary fiction
58491879,27908,literary fiction
59366234,37010,literary fiction
57539677,30624,literary fiction
56294820,90644,literary fiction
58205835,13970,literary fiction
58502673,36145,literary fiction
61089551,39165,literary fiction
65215270,60280,literary fiction
62039166,361303,literary fiction
62331692,28506,literary fiction
158875813,161221,literary fiction
60524416,46119,literary fiction
61118954,47079,literary fiction
81360004,60533,literary fiction
62606735,15136,literary fiction
61104275,17073,literary fiction
61634095,10554,literary fiction
123636870,25921,literary fiction
57834285,31723,literary fiction
173754979,642765,literary fiction
199798201,214909,literary fiction
123136728,214094,literary fiction
168632462,53017,literary fiction
127488823,62585,literary fiction
128714412,20551,literary fiction
200241802,23874,literary fiction
174156218,32586,literary fiction
201187765,23994,literary fiction
174147294,163841,literary fiction
207300960,96028,literary fiction
196774352,34783,literary fiction
205478762,131119,literary fiction
220605957,48675,literary fiction
214269374,34637,literary fiction
214152261,139971,literary fiction
216247518,89686,literary fiction
219743621,116339,literary fiction
209160325,44307,literary fiction
218460339,46593,literary fiction
220999014,14607,literary fiction
217587065,20612,literary fiction
217832844,9314,literary fiction
205973374,13119,literary fiction
218734847,43382,literary fiction
222683974,134532,literary fiction
222493271,7329,literary fiction
219856609,58024,literary fiction
223889699,185642,literary fiction
55873262,31200,literary fiction
54785558,61831,literary fiction
54633172,74724,literary fiction
59576018,13601,literary fiction
54404602,111880,literary fiction
54120408,537807,literary fiction
53328334,26019,literary fiction
53733106,120041,literary fiction
55592200,14497,literary fiction
56404444,109248,literary fiction
55994371,15636,literary fiction
54976986,181329,literary fiction
58438601,16721,literary fiction
9780385545938,57822,popular fiction
9780735224315,1023771,popular fiction
9780735219090,1796028,popular fiction
9781250209764,568702,popular fiction
9780525539537,14052,popular fiction
9780385545990,57498,popular fiction
9781250178633,1140999,popular fiction
9781668037713,206222,popular fiction
9780593441282,1115386,popular fiction
9781538704431,841394,popular fiction
9781501110368,1666875,popular fiction
9781649374172,1078395,popular fiction
9781649374042,1997488,popular fiction
9781538756348,61113,popular fiction
9781524761332,163224,popular fiction
9780385545969,58219,popular fiction
9780525536291,994554,popular fiction
9781538728574,97958,popular fiction
9780385546898,185642,popular fiction
9780063021471,534173,popular fiction
9780735219106,1796028,popular fiction
9780593334836,1473489,popular fiction
9780316258678,293261,popular fiction
9780735222359,344708,popular fiction
9780385546027,62772,popular fiction
9781501171345,1075156,popular fiction
9781984818416,382890,popular fiction
9781982181659,17023,popular fiction
9780385548984,147254,popular fiction
9781538774229,350432,popular fiction
9780593972700,859357,popular fiction
9781538774205,885471,popular fiction
9781649377371,1997488,popular fiction
9781538774700,231943,popular fiction
9781982104146,7048,popular fiction
9780593329825,389515,popular fiction
9780385550369,642765,popular fiction
9780316569781,13114,popular fiction
9780593441299,857617,popular fiction
9781649376947,1020906,popular fiction
9798874620936,355518,popular fiction
9781464227318,464425,popular fiction
9781668001226,844962,popular fiction
9781668002179,466861,popular fiction
9780316256568,27639,popular fiction
9781538728628,232069,popular fiction
9781250220257,332977,popular fiction
9781984818515,39688,popular fiction
9781982173678,70542,popular fiction
9780063045699,359843,popular fiction
9780063003057,730062,popular fiction
9781635574074,763110,popular fiction
9781982182311,4048,popular fiction
9780593158715,987590,popular fiction
9781638932253,280373,popular fiction
9781668089330,114175,popular fiction
9781668033876,393349,popular fiction
9781250178602,809288,popular fiction
9781982139131,9453,popular fiction
9781681196282,1096943,popular fiction
9781250207210,18581,popular fiction
9780385548953,99967,popular fiction
9781668016138,317471,popular fiction
9780593724781,103765,popular fiction
9781464221132,673915,popular fiction
9781538748336,61326,popular fiction
9780759554344,110448,popular fiction
9780062424037,472818,popular fiction
9781250278203,39074,popular fiction
9780316572132,45411,popular fiction
9780063327528,542403,popular fiction
9781982165024,8615,popular fiction
9781538756591,374020,popular fiction
9780593542828,9569,popular fiction
9780316420044,239932,popular fiction
9780316540711,42170,popular fiction
9780385547680,34678,popular fiction
9781982173616,271341,popular fiction
9780593441275,1274305,popular fiction
9780316258777,299732,popular fiction
9781728275864,126520,popular fiction
9781728296227,593324,popular fiction
9780593449592,130429,popular fiction
9780316402989,32952,popular fiction
9781538771228,196141,popular fiction
9781649377159,1020906,popular fiction
9781984818355,135573,popular fiction
9780593714508,8907,popular fiction
9780316498029,41405,popular fiction
9780316435611,60304,popular fiction
9781538761502,40241,popular fiction
9780593465271,63064,popular fiction
9781250370839,29860,popular fiction
9780593465066,99271,popular fiction
9781101885680,141762,popular fiction
9781728251059,34408,popular fiction
9781501171369,1075156,popular fiction
9780399179655,12792,popular fiction
9781538751916,48682,popular fiction
9781250284327,53717,popular fiction
9781984818478,45832,popular fiction
9781538739723,1502848,popular fiction
9780593449554,125503,popular fiction
9781250289551,17828,popular fiction
9780593718421,6193,popular fiction
9780805096606,102231,popular fiction
9781635574043,1393597,popular fiction
9780316529563,32114,popular fiction
9780316565073,49336,popular fiction
9780593087039,11438,popular fiction
9781728289755,331771,popular fiction
9781538765029,77570,popular fiction
9781982104085,12984,popular fiction
9781250319180,157252,popular fiction
9780062852847,519673,popular fiction
9781538757932,35895,popular fiction
9781982181697,12802,popular fiction
9780385549325,52689,popular fiction
9780316569941,6302,popular fiction
9780063384255,14429,popular fiction
9781538719787,25886,popular fiction
9780593328699,15354,popular fiction
9781538748404,107569,popular fiction
9781728276113,637716,popular fiction
9780316403283,16994,popular fiction
9781538736715,10652,popular fiction
9781538748169,117727,popular fiction
9781250289575,31389,popular fiction
9781668026250,343063,popular fiction
9780593952580,265217,popular fiction
9781250145284,45255,popular fiction
9780593331316,10179,popular fiction
9781982112844,827098,popular fiction
9781668003121,32670,popular fiction
9780593422489,8686,popular fiction
9781635574104,705623,popular fiction
9780759555693,24752,popular fiction
9781538770801,222582,popular fiction
9781538759196,518258,popular fiction
9781250288783,56021,popular fiction
9780316404693,20261,popular fiction
9780063112520,28248,popular fiction
9780062834904,21454,popular fiction
9781501193729,11741,popular fiction
9780316430241,20014,popular fiction
9781538719664,23132,popular fiction
9780063336803,268095,popular fiction
9780316588492,39796,popular fiction
9781538719695,15950,popular fiction
9781250145314,49843,popular fiction
9781982154868,29247,popular fiction
9781984818591,46186,popular fiction
9780385546577,59159,popular fiction
9781668047071,11810,popular fiction
9780735211254,178049,popular fiction
9781538719794,25006,popular fiction
9780593851067,6354,popular fiction
9780593422427,8922,popular fiction
9781250328182,32817,popular fiction
9781250278227,17679,popular fiction
9781250881205,356569,popular fiction
9781250207128,43743,popular fiction
9780316539562,60719,popular fiction
9781250272829,14870,popular fiction
9781429952040,209144,popular fiction
9780062834911,14559,popular fiction
9781982154905,24930,popular fiction
9780593653265,142087,popular fiction
9780593725818,49349,popular fiction
9780593299432,188295,popular fiction
9781250145253,52806,popular fiction
9780316494953,42801,popular fiction
9781984882028,150277,popular fiction
9781538748268,47541,popular fiction
9781538750599,40535,popular fiction
9781250284310,15643,popular fiction
9781250207241,18403,popular fiction
9781649374189,1020906,popular fiction
9781250328144,52715,popular fiction
218173295,46090,literary fiction
214986269,47915,literary fiction
206355114,108,literary fiction
220075119,77399,literary fiction
228394781,64518,literary fiction
205544315,32624,literary fiction
208511270,73484,literary fiction
209141112,15482,literary fiction
205673377,31302,literary fiction
27826456,44315,literary fiction
61244744,5281,literary fiction
218718725,3044,literary fiction
220396538,18682,literary fiction
195790859,17877,literary fiction
58877223,62499,literary fiction
63313297,48492,literary fiction
61921635,5222,literary fiction
203425834,5947,literary fiction
61921644,16254,literary fiction
120855172,36845,literary fiction
51658555,2248,literary fiction
123033172,5467,literary fiction
173956327,11251,literary fiction
65502618,24699,literary fiction
63283383,5756,literary fiction
70240502,12815,literary fiction
58999261,69331,literary fiction
49236083,53759,literary fiction
29382499,14416,literary fiction
78819544,3074,literary fiction
61411075,4541,literary fiction
95696897,69617,literary fiction
60059857,14405,literary fiction
123248566,2331,literary fiction
61154622,9973,literary fiction
61798404,5349,literary fiction
29861389,7163,literary fiction
60105494,4632,literary fiction
60799975,2425,literary fiction
58703758,40664,literary fiction
56648660,130572,literary fiction
53223710,157775,literary fiction
56802275,85393,literary fiction
57500766,60084,literary fiction
58382687,5301,literary fiction
58276619,72477,literary fiction
56355657,4374,literary fiction
55894188,8303,literary fiction
56898088,10315,literary fiction
58730652,45574,literary fiction
59602522,8413,literary fiction
57443695,3119,literary fiction
50403480,58260,literary fiction
53215250,127249,literary fiction
62069739,139707,literary fiction
53780642,71109,literary fiction
53492649,16963,literary fiction
54765614,3784,literary fiction
51871688,1735,literary fiction
49007411,3753,literary fiction
54815570,6609,literary fiction
51797918,6334,literary fiction
52175029,8261,literary fiction
52045757,121281,literary fiction
49007455,1858,literary fiction
49374086,66704,literary fiction
35708940,17752,literary fiction
227945775,13394,literary fiction
36130507,26918,literary fiction
46041168,120335,literary fiction
37004370,330130,literary fiction
46157305,1302,literary fiction
46024004,20970,literary fiction
41071389,70961,literary fiction
42594530,30358,literary fiction
41945016,1737,literary fiction
48635845,45420,literary fiction
52411074,2210,literary fiction
